Title,Link,Pic,displayPic,floar,floar1,verticalTable,verticalTable1,verticalTable2,priceLabel,windowFacing,layoutSpace,priceLabel1,layoutSpace1,unitSummary,memberName,memberName1,verticalTable3,btn-favorite--watch,anchor,anchor1,relatedKeywordsData,relatedKeywordsData1,relatedKeywordsData2,relatedKeywordsData3,relatedKeywordsData4,relatedKeywordsData5,textFeatureComment,onlineIcon,memberName2,relatedKeywordsData6,relatedKeywordsData7
エンゼル柴又ブライトンテラス,https://www.homes.co.jp/mansion/b-1275780000489/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fpoz02rpxd3qwwlz.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,2階南,2階南,京成金町線 柴又駅 徒歩11分東京都葛飾区柴又2丁目,RC(鉄筋コンクリート) / 5階建,2005年12月（築15年）,"3,290万円",南,4LDK/72.74m²,"3,290万円",4LDK/72.74m²,26枚,オンライン相談可,オンライン相談可,22戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1275780000489/,ペット相談可,ペット相談可,駐車場あり,駐車場あり,オートロック,オートロック,柔らかな明るい色調でコーディネイトした南向き4LDK角住戸,オンライン相談可,（株式会社コスモスイニシア　流通営業部・錦糸町営業所）,エレベーター,スーパー800m以内
パークハイツ板橋志村,https://www.homes.co.jp/mansion/b-1090830003093/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fsv0s2rjdcm9lg6v.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,6階南,6階南,都営三田線 蓮根駅 徒歩11分東京都板橋区東坂下2丁目10-1,RC(鉄筋コンクリート) / 7階建,2000年02月（築21年）,"3,896万円",南,3LDK/70.83m²,"3,896万円",3LDK/70.83m²,21枚,オンライン相談可,オンライン相談可,33戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003093/,駐車場あり,駐車場あり,オートロック,オートロック,エレベーター,エレベーター,当社売主。本日ご内覧出来ます。南西角部屋の3LDK、ウォークインクローゼット付、全居室に窓有。,オンライン相談可,（グローバルベイス株式会社）,角部屋,
シェモア西葛西,https://www.homes.co.jp/mansion/b-1275780000492/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fnabk2rpxd3qwwub.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,2階南東,2階南東,都営新宿線 西大島駅 バス20分 宇喜田下車 徒歩5分東京都江戸川区西葛西3丁目,RC(鉄筋コンクリート) / 7階建,1997年10月（築24年）,"4,130万円",南東,3LDK/66.08m²,"4,130万円",3LDK/66.08m²,29枚,オンライン相談可,オンライン相談可,23戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1275780000492/,リノベーション・リフォーム,リノベーション・リフォーム,オートロック,オートロック,エレベーター,エレベーター,シックなアクセントクロスが映える洗練された暮らし,オンライン相談可,（株式会社コスモスイニシア　流通営業部・錦糸町営業所）,スーパー800m以内,角部屋
ライオンズマンション亀戸五丁目,https://www.homes.co.jp/mansion/b-1090830003136/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fv9zr2rjdcm9ljib.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,2階西,2階西,東武亀戸線 亀戸水神駅 徒歩4分東京都江東区亀戸5丁目36-2,RC(鉄筋コンクリート) / 5階建,1987年11月（築33年）,"4,280万円",西,3LDK/67.37m²,"4,280万円",3LDK/67.37m²,23枚,オンライン相談可,オンライン相談可,30戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003136/,リノベーション・リフォーム,リノベーション・リフォーム,オートロック,オートロック,エレベーター,エレベーター,＼当社売主／2階角部屋、北西角部屋の3LDK+WIC。23平米の広々L字型バルコニー付き。,オンライン相談可,（グローバルベイス株式会社）,スーパー800m以内,角部屋
ガーデンプラザ柴又弐番館,https://www.homes.co.jp/mansion/b-1275780000497/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fxs572rpxd3qwx88.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,6階南東,6階南東,京成金町線 柴又駅 徒歩9分東京都葛飾区柴又2丁目,SRC(鉄骨鉄筋コンクリート) / 11階建,1984年11月（築36年）,"2,590万円",南東,3LDK/65.33m²,"2,590万円",3LDK/65.33m²,25枚,オンライン相談可,オンライン相談可,324戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1275780000497/,リノベーション・リフォーム,リノベーション・リフォーム,エレベーター,エレベーター,大規模マンション,大規模マンション,大規模分譲の6階の採光・通風に恵まれた、フルリノベーション角住戸,オンライン相談可,（株式会社コスモスイニシア　流通営業部・錦糸町営業所）,スーパー800m以内,角部屋
レジデンス大山,https://www.homes.co.jp/mansion/b-1090830003143/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fnaq72rjdcm9lk1r.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,5階南,5階南,東武東上線 大山駅 徒歩7分東京都板橋区熊野町45-2,SRC(鉄骨鉄筋コンクリート) / 11階建,1991年09月（築30年）,"4,180万円",南,3LDK/57.68m²,"4,180万円",3LDK/57.68m²,23枚,オンライン相談可,オンライン相談可,59戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003143/,リノベーション・リフォーム,リノベーション・リフォーム,ペット相談可,ペット相談可,オートロック,オートロック,＼当社売主／ハッピーロード大山商店街まで約600ｍ！5階南向き陽当たり良好！ペット飼育可。,オンライン相談可,（グローバルベイス株式会社）,エレベーター,スーパー800m以内
エンゼルハイム祖師谷大蔵,https://www.homes.co.jp/mansion/b-1090830003145/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fwl4z2rjdcm9lk7b.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,4階東,4階東,小田急小田原線 祖師ヶ谷大蔵駅 徒歩12分東京都世田谷区砧3丁目17-8,RC(鉄筋コンクリート) / 6階建,1983年01月（築38年）,"5,380万円",東,3LDK/69.33m²,"5,380万円",3LDK/69.33m²,22枚,オンライン相談可,オンライン相談可,47戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-1090830003145/,リノベーション・リフォーム,リノベーション・リフォーム,エレベーター,エレベーター,スーパー800m以内,スーパー800m以内,＼当社売主／東南西の3方向角部屋の陽当り眺望良好住戸。バスの便も使い勝手が良いです。,オンライン相談可,（グローバルベイス株式会社）,角部屋,
セザールベイサイド勝どき,https://www.homes.co.jp/mansion/b-35005010001812/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fp1ww3oxj0jewgk2.jpg&width=208&height=138,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,2階南東,2階南東,都営大江戸線 勝どき駅 徒歩4分東京都中央区勝どき3丁目,RC(鉄筋コンクリート) / 8階建,2002年12月（築18年）,"4,980万円",南東,1SLDK/65.39m²,"4,980万円",1SLDK/65.39m²,21枚,（大成有楽不動産販売株式会社　本社センター）,（大成有楽不動産販売株式会社　本社センター）,27戸,お気に入りに登録,詳細を見る,https://www.homes.co.jp/mansion/b-35005010001812/,,,,,,,,,,,
パークホームズ亀有ガーデンズコート,https://www.homes.co.jp/mansion/b-1431520000008/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fqm9g2rvg3p8dk4j.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","1階南,1階南,1階南",1階南,ＪＲ常磐線 亀有駅 徒歩5分東京都足立区中川4丁目23-19,RC(鉄筋コンクリート) / 13階建,2017年12月（築3年）,"5,200万円,5,080万円,4,999万円","南,南,南","3LDK/64.71m²,3LDK/64.71m²,3LDK/64.71m²","5,200万円",3LDK/64.71m²,30枚,"オンライン相談可,オンライン相談可,（株式会社FURVAL）",オンライン相談可,-,"お気に入りに登録,お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-1402480003018/,"ペット相談可,ペット相談可,リノベーション・リフォーム",ペット相談可,"エレベーター,オートロック,ペット相談可",エレベーター,"エレベーター,オートロック",エレベーター,和のテイストがふんだんに盛り込まれた壮麗な様は、居住者や来訪者を優しく迎え入れてくれるそんな建物。,"オンライン相談可,オンライン相談可","（株式会社東宝ハウス新小岩）,（株式会社東宝ハウス船橋）",エレベーター,
リベール綾瀬,https://www.homes.co.jp/mansion/b-1431520000006/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F61xi2rvg3p8djyy.jpg&width=208&height=138,"https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584,https://www.homes.co.jp/search/assets/img/default/common/utility/loading_24x24.gif?v=112d916d958470febe72d22ac494a584","5階東,2階東",5階東,東京メトロ千代田線 綾瀬駅 徒歩9分東京都足立区綾瀬5丁目24-1,SRC(鉄骨鉄筋コンクリート) / 10階建,2000年08月（築21年）,"3,799万円,3,798万円","東,東","3LDK/69.34m²,3LDK/73.4m²","3,799万円",3LDK/69.34m²,16枚,"（株式会社FURVAL）,オンライン相談可",（株式会社FURVAL）,67戸,"お気に入りに登録,お気に入りに登録","詳細を見る,詳細を見る",https://www.homes.co.jp/mansion/b-1431520000006/,"リノベーション・リフォーム,リノベーション・リフォーム",リノベーション・リフォーム,"ペット相談可,ペット相談可",ペット相談可,駐車場あり,駐車場あり,陽当たり・眺望良好！ファミリータイプの新規リノベーション物件です！,オンライン相談可,（株式会社東宝ハウス城東）,エレベーター,スーパー800m以内
